lemma,fin:sg:pri:perf,fin:sg:pri:imperf,fin:sg:sec:perf,fin:sg:sec:imperf,fin:sg:ter:perf,fin:sg:ter:imperf,fin:pl:pri:perf,fin:pl:pri:imperf,fin:pl:sec:perf,fin:pl:sec:imperf,fin:pl:ter:perf,fin:pl:ter:imperf,praet:sg:f:perf,praet:sg:f:imperf,praet:sg:m1.m2.m3:perf,praet:sg:m1.m2.m3:imperf,praet:pl:m2.m3.f.n1.n2.p2.p3:perf,praet:pl:m2.m3.f.n1.n2.p2.p3:imperf,ppron3:sg:nom:m1.m2.m3:ter:_:_
obsiąść,obsiądę,,obsiądziesz,,obsiądzie,,obsiądziemy,,obsiądziecie,,obsiądą,,obsiadła,,obsiadł,,obsiadły,,
obsiec,obsiekę,,obsieczesz,,obsiecze,,obsieczemy,,obsieczecie,,obsieką,,obsiekła,,obsiekł,,obsiekły,,
obsiedzieć,obsiedzę,,obsiedzisz,,obsiedzi,,obsiedzimy,,obsiedzicie,,obsiedzą,,obsiedziała,,obsiedział,,obsiedziały,,
obsiekać,obsiekam,obsiekam,obsiekasz,obsiekasz,obsieka,obsieka,obsiekamy,obsiekamy,obsiekacie,obsiekacie,obsiekają,obsiekają,obsiekała,obsiekała,obsiekał,obsiekał,obsiekały,obsiekały,
obsiekiwać,,obsiekuję,,obsiekujesz,,obsiekuje,,obsiekujemy,,obsiekujecie,,obsiekują,,obsiekiwała,,obsiekiwał,,obsiekiwały,
obsiepać,obsiepię,,obsiepiesz,,obsiepie,,obsiepiemy,,obsiepiecie,,obsiepią,,obsiepała,,obsiepał,,obsiepały,,
obsiepywać,,obsiepuję,,obsiepujesz,,obsiepuje,,obsiepujemy,,obsiepujecie,,obsiepują,,obsiepywała,,obsiepywał,,obsiepywały,
obsiewać,,obsiewam,,obsiewasz,,obsiewa,,obsiewamy,,obsiewacie,,obsiewają,,obsiewała,,obsiewał,,obsiewały,
obsikać,obsikam,,obsikasz,,obsika,,obsikamy,,obsikacie,,obsikają,,obsikała,,obsikał,,obsikały,,
obsikiwać,,obsikuję,,obsikujesz,,obsikuje,,obsikujemy,,obsikujecie,,obsikują,,obsikiwała,,obsikiwał,,obsikiwały,
obsiusiać,obsiusiam,,obsiusiasz,,obsiusia,,obsiusiamy,,obsiusiacie,,obsiusiają,,obsiusiała,,obsiusiał,,obsiusiały,,
obskakiwać,,obskakuję,,obskakujesz,,obskakuje,,obskakujemy,,obskakujecie,,obskakują,,obskakiwała,,obskakiwał,,obskakiwały,
obskoczyć,obskoczę,,obskoczysz,,obskoczy,,obskoczymy,,obskoczycie,,obskoczą,,obskoczyła,,obskoczył,,obskoczyły,,
obskrobać,obskrobię,,obskrobiesz,,obskrobie,,obskrobiemy,,obskrobiecie,,obskrobią,,obskrobała,,obskrobał,,obskrobały,,
obskrobywać,,obskrobuję,,obskrobujesz,,obskrobuje,,obskrobujemy,,obskrobujecie,,obskrobują,,obskrobywała,,obskrobywał,,obskrobywały,
obskubać,obskubię,,obskubiesz,,obskubie,,obskubiemy,,obskubiecie,,obskubią,,obskubała,,obskubał,,obskubały,,
obskubywać,,obskubuję,,obskubujesz,,obskubuje,,obskubujemy,,obskubujecie,,obskubują,,obskubywała,,obskubywał,,obskubywały,
obsłuchać,obsłucham,,obsłuchasz,,obsłucha,,obsłuchamy,,obsłuchacie,,obsłuchają,,obsłuchała,,obsłuchał,,obsłuchały,,
obsłuchiwać,,obsłuchuję,,obsłuchujesz,,obsłuchuje,,obsłuchujemy,,obsłuchujecie,,obsłuchują,,obsłuchiwała,,obsłuchiwał,,obsłuchiwały,
obsługiwać,,obsługuję,,obsługujesz,,obsługuje,,obsługujemy,,obsługujecie,,obsługują,,obsługiwała,,obsługiwał,,obsługiwały,
obsłupiać,,obsłupiam,,obsłupiasz,,obsłupia,,obsłupiamy,,obsłupiacie,,obsłupiają,,obsłupiała,,obsłupiał,,obsłupiały,
obsłupić,obsłupię,,obsłupisz,,obsłupi,,obsłupimy,,obsłupicie,,obsłupią,,obsłupiła,,obsłupił,,obsłupiły,,
obsłupieć,obsłupieję,,obsłupiejesz,,obsłupieje,,obsłupiejemy,,obsłupiejecie,,obsłupieją,,obsłupiała,,obsłupiał,,obsłupiały,,
obsłużyć,obsłużę,,obsłużysz,,obsłuży,,obsłużymy,,obsłużycie,,obsłużą,,obsłużyła,,obsłużył,,obsłużyły,,
obsmarować,obsmaruję,,obsmarujesz,,obsmaruje,,obsmarujemy,,obsmarujecie,,obsmarują,,obsmarowała,,obsmarował,,obsmarowały,,
obsmarowywać,,obsmarowuję,,obsmarowujesz,,obsmarowuje,,obsmarowujemy,,obsmarowujecie,,obsmarowują,,obsmarowywała,,obsmarowywał,,obsmarowywały,
obsmażać,,obsmażam,,obsmażasz,,obsmaża,,obsmażamy,,obsmażacie,,obsmażają,,obsmażała,,obsmażał,,obsmażały,
obsmażyć,obsmażę,,obsmażysz,,obsmaży,,obsmażymy,,obsmażycie,,obsmażą,,obsmażyła,,obsmażył,,obsmażyły,,
obsmyczać,,obsmyczam,,obsmyczasz,,obsmycza,,obsmyczamy,,obsmyczacie,,obsmyczają,,obsmyczała,,obsmyczał,,obsmyczały,
obsmyczyć,obsmyczę,,obsmyczysz,,obsmyczy,,obsmyczymy,,obsmyczycie,,obsmyczą,,obsmyczyła,,obsmyczył,,obsmyczyły,,
obsobaczać,,obsobaczam,,obsobaczasz,,obsobacza,,obsobaczamy,,obsobaczacie,,obsobaczają,,obsobaczała,,obsobaczał,,obsobaczały,
obsobaczyć,obsobaczę,,obsobaczysz,,obsobaczy,,obsobaczymy,,obsobaczycie,,obsobaczą,,obsobaczyła,,obsobaczył,,obsobaczyły,,
obsprawiać,,obsprawiam,,obsprawiasz,,obsprawia,,obsprawiamy,,obsprawiacie,,obsprawiają,,obsprawiała,,obsprawiał,,obsprawiały,
obsprawić,obsprawię,,obsprawisz,,obsprawi,,obsprawimy,,obsprawicie,,obsprawią,,obsprawiła,,obsprawił,,obsprawiły,,
obsrać,obsram,,obsrasz,,obsra,,obsramy,,obsracie,,obsrają,,obsrała,,obsrał,,obsrały,,
obsrywać,,obsrywam,,obsrywasz,,obsrywa,,obsrywamy,,obsrywacie,,obsrywają,,obsrywała,,obsrywał,,obsrywały,
obstać,obstoję,,obstoisz,,obstoi,,obstoimy,,obstoicie,,obstoją,,obstała,,obstał,,obstały,,
obstalować,obstaluję,,obstalujesz,,obstaluje,,obstalujemy,,obstalujecie,,obstalują,,obstalowała,,obstalował,,obstalowały,,
obstalowywać,,obstalowuję,,obstalowujesz,,obstalowuje,,obstalowujemy,,obstalowujecie,,obstalowują,,obstalowywała,,obstalowywał,,obstalowywały,
obstawać,,obstaję,,obstajesz,,obstaje,,obstajemy,,obstajecie,,obstają,,obstawała,,obstawał,,obstawały,
obstawiać,,obstawiam,,obstawiasz,,obstawia,,obstawiamy,,obstawiacie,,obstawiają,,obstawiała,,obstawiał,,obstawiały,
obstawić,obstawię,,obstawisz,,obstawi,,obstawimy,,obstawicie,,obstawią,,obstawiła,,obstawił,,obstawiły,,
obstąpić,obstąpię,,obstąpisz,,obstąpi,,obstąpimy,,obstąpicie,,obstąpią,,obstąpiła,,obstąpił,,obstąpiły,,
obstępować,,obstępuję,,obstępujesz,,obstępuje,,obstępujemy,,obstępujecie,,obstępują,,obstępowała,,obstępował,,obstępowały,
obstrzelać,obstrzelam,,obstrzelasz,,obstrzela,,obstrzelamy,,obstrzelacie,,obstrzelają,,obstrzelała,,obstrzelał,,obstrzelały,,
obstrzeliwać,,obstrzeliwuję,,obstrzeliwujesz,,obstrzeliwuje,,obstrzeliwujemy,,obstrzeliwujecie,,obstrzeliwują,,obstrzeliwała,,obstrzeliwał,,obstrzeliwały,
obstrzępić,obstrzępię,,obstrzępisz,,obstrzępi,,obstrzępimy,,obstrzępicie,,obstrzępią,,obstrzępiła,,obstrzępił,,obstrzępiły,,
obstrzyc,obstrzygę,,obstrzyżesz,,obstrzyże,,obstrzyżemy,,obstrzyżecie,,obstrzygą,,obstrzygła,,obstrzygł,,obstrzygły,,
obstrzygać,,obstrzygam,,obstrzygasz,,obstrzyga,,obstrzygamy,,obstrzygacie,,obstrzygają,,obstrzygała,,obstrzygał,,obstrzygały,
